product_name,quantity,nutrition_score,carbon_footprint,co2_packaging,store_count,country count,ingredients,Satisfaction
Lait Amandes Sel de Guérande,100 g,29,12.741300238,0.10429359,1,1,36%,2
Chocolat noir fourré mousse,160 g,20,17.110287748,0.10429359,1,1,44%,2
Chocolat noir allégé en sucre,2 x 100 g,17,17.110287748,0.10429359,1,1,47%,2
Chocolat Noir Fourré menthe,150 g,21,17.110287748,0.10429359,1,1,48%,2
Chocolat lait fourré caramel,125 g,,,,1,1,30%,2
Chocolat pâtissier lait et 5 épices,175 g,25,12.741300238,0.10429359,3,1,30%,4
Tablette Chocolat Noir 74% Fourré Pur Fruit Cassis Bio,100 g,17,,,0,1,74%,1
Chocolat lait riz soufllé,100g,26,12.741300238,0.10429359,0,2,32%,2
Villars Chocolat noir amandes la tablette de 300 g,300 g,18,17.110287748,0.10429359,0,1,50%,1
NESTLE DESSERT Noir 5x205 g - Lot SEB,1025 g,21,17.110287748,0.10429359,1,1,53%,2
Petit beurre milk,150 g,27,6.738600583,0.11010835,1,1,2055%,2
NESTLE DESSERT Chocolat Noir lot de 2x205g,410 g,21,17.110287748,0.10429359,0,1,52%,1
Tablette de chocolat Lindt Lait noisettes,2,,,,1,1,30%,2
Chocolat noir amande coco,100 g,19,17.110287748,0.10429359,1,1,55%,2
Tablette de chocolat noir bio saveur orange,100 g,24,17.110287748,0.10429359,1,1,60%,2
Tablette de chocolat noir aux oranges confites,120 g,21,4.363517368,0.10429359,1,1,51%,2
Tablette de chocolat au lait caramel à la pointe de sel,120 g,34,12.741300238,0.10429359,1,1,35%,2
Tablette de chocolat au lait,120 g,25,12.741300238,0.10429359,1,1,35%,2
Duets de xocolata blanca,150 g,27,6.738600583,0.11010835,0,1,28%,1
Chocolat noir au cacao cru et à la cacahuète,80g,17,17.110287748,0.10429359,1,1,70%,2
Chocolat noir 85% République Dominicaine Bio et Équitable,10 kg,15,17.110287748,0.10429359,0,3,85%,3
Chocolat Noir Dessert Pâtissier 56% Bio et Équitable,20 kg,21,17.110287748,0.10429359,0,3,56%,3
Tablette chocolat lait,50g,25,12.741300238,0.10429359,1,1,34%,2
Tablette Noir doux 56% cacao 3 céréales,100 g,19,17.110287748,0.10429359,2,1,4%,3
70% Ecuador,100 grammes,18,17.110287748,0.10429359,1,1,70%,2
Isaura Chocolat au lait décoré,100g,24,12.741300238,0.10429359,0,1,31%,1
Tablette Chocolat Noir Au Grué De Cacao,,24,17.110287748,0.10429359,0,1,63%,1
N°3 Saint-Domingue Noir 70%,80 g,21,17.110287748,0.10429359,1,1,70%,2
Tablette N°1 Côte d'Ivoire Noir 70%,80 g e,22,17.110287748,0.10429359,1,1,70%,2
N°6 Caramel à La Fleur De Sel,80 g e,26,12.741300238,0.10429359,1,1,36%,2
Recette originale - Chocolat double au lait,2X110g,26,12.741300238,0.10429359,3,1,30%,4
Chocolat noir dégustation éclats de fèves de cacao,100 g,17,17.110287748,0.10429359,2,1,72%,3
Chocolat supérieur Noir truffé,150 g,21,17.110287748,0.10429359,1,1,49%,2
Lait Raisins & Noisettes,2 x 100 g,27,,,1,1,30%,2
Mini tablettes de chocolat noir,200 g,16,17.110287748,0.10429359,1,1,72%,2
Petit beurre avec tablette de chocolat blanc,150 g,25,5.918971723,0.11013799,1,1,27%,2
Tablette de chocolat noir fourré à la menthe,150 g,20,17.110287748,0.10429359,2,1,48%,3
Tablette de chocolat noir fourré et pépites à la framboise,150 g,21,17.110287748,0.10429359,1,1,48%,2
Tablette de chocolat au lait croustillant,2 x 100 g,27,12.741300238,0.10429359,1,1,30%,2
Tablette de chocolat au lait extra raisins et noisettes,200 g,23,12.741300238,0.10429359,1,1,32%,2
Tablette de chocolat noir aux éclats de noix de macadamia,100 g,20,17.110287748,0.10429359,1,1,55%,2
Tablettes chocolat noisette,160 g,,,,1,1,35%,2
tablette degustation chocolat au lait bio,100 g,27,12.741300238,0.10429359,1,1,40%,2
tablette degustation chocolat au lait,100 g,27,12.741300238,0.10429359,1,1,35%,2
Chocolat blanc dessert,175 g,27,11.318443968,0.10429359,1,1,25%,2
Tablette Chocolat Au Lait Praslines - 100 G - Mazet,100 g,,,,0,1,38%,1
Noir Sélection Pérou,100 g,17,17.110287748,0.10429359,0,2,75%,2
Chocolat,90 g,22,17.110287748,0.10429359,0,1,70%,1
La Tablette by Mathez Truffes Fantaisie caramel,95g,26,12.741300238,0.10429359,0,1,30%,1
Tablette chocolat lait noisettes,,26,12.741300238,0.10429359,0,1,34%,1
Chocolat au lait et au riz,2 x 100 g,27,12.741300238,0.10429359,1,1,30%,2
Chocolat noir fourré praliné,150 g,21,17.110287748,0.10429359,1,1,49%,2
Chocolat au lait fourré mousse,160 g,26,12.741300238,0.10429359,1,1,27%,2
Chocolat au lait allégé en sucre,2 x 100 g,18,12.741300238,0.10429359,1,1,30%,2
Tablette d'Or - Les allégés lait,100g,19,12.741300238,0.10429359,1,1,30%,2
Palets pâtissier chocolat noir 55% cacao,200 g,20,17.110287748,0.10429359,1,1,55%,2
Chocolat Noir Éclats D'Amandes Bio & équitable,100g,19,17.110287748,0.10429359,2,1,60%,3
Chocolat de ménage au lait,200 g,23,12.741300238,0.10429359,1,1,24%,2
Dark 85% cocoa - Chocolat belge noir,85g,10,17.110287748,0.10429359,1,2,80%,3
Pur Chocolat Suisse Swiss milk chocolate with apricot liqueur filling,100 g e,25,12.741300238,0.10429359,3,2,31%,5
Tablette n°311 - Chocolat noir & éclats de cacao,100gr,23,17.110287748,0.10429359,0,2,71%,2
NESTLE DESSERT Praliné 2 x 170g,340 g,24,12.741300238,0.10429359,0,1,36%,1
NESTLE DESSERT Lait 3 x 170g,510 g,23,17.110287748,0.10429359,1,1,39%,2
Dessert Chocolat au lait le lot de 2 tablettes de 170 g,340 g,23,12.741300238,0.10429359,1,1,39%,2
Chocolate negro almendras & avellanas,195g,24,17.110287748,0.10429359,0,1,54%,1
Chocolat Lait Noisettes Migros Bio,100g,24,12.741300238,0.10429359,1,1,30%,2
Milka in colors,100 g,26,12.741300238,0.10429359,1,1,30%,2
Carré gourmands,400 g (2x200g),25,12.741300238,0.10429359,2,1,30%,3
Chocolat au lait en tablette,100 g,27,12.741300238,0.10429359,0,1,33%,1
